@relation data3

@attribute A {ar,v,d,ao,ae,an,r,as,p,ag,ax,w,n,u,ah,i,z,s,e,ab,aq,al,f,ad,aa,au,ai,t,m,ak,am,aw,q,ap,a,o,ac,af,l,at,h,c,aj,x,av,k,j,b,y,g}
@attribute B {i,al,ak,m,ax,t,ab,ao,aa,l,c,k,as,ah,ap,q,b,ac,v,x,j,af,ai,d,ae,o,ar,ad,u,an,y,n,at,aw,f,p,am,aq,h,av,g,r,a,w,s,au,e,z,ag,aj}
@attribute C {al,j,as,ak,b,r,g,o,ag,ah,p,an,m,ar,h,x,ad,ab,ao,q,f,ap,e,aw,ac,i,av,z,v,l,y,c,aq,aj,u,d,t,ai,w,at,ae,am,ax,n,a,s,aa,au,af,k}
@attribute D {aw,c,an,aa,f,q,m,y,o,ax,g,as,ak,ao,af,l,ag,at,aj,w,ai,u,av,ar,t,n,am,d,ae,ad,z,s,j,h,v,al,ab,ap,r,ac,i,e,a,b,x,ah,k,au,p,aq}
@attribute E {r,ah,g,al,p,ag,ad,af,j,h,ae,s,l,f,i,b,k,am,u,ak,ao,aa,ar,ac,v,c,e,aj,an,w,z,o,n,a,m,ab,aw,ap,ax,at,ai,y,au,q,x,aq,t,as,d,av}
@attribute F {av,v,ap,u,n,w,r,ax,ac,ab,ar,aa,o,ag,ah,a,al,h,m,s,j,p,e,y,af,au,ak,f,k,z,aq,aw,c,i,an,g,b,ai,at,d,as,q,am,x,ad,t,l,ao,ae,aj}
@attribute G {ax,an,t,j,s,p,at,c,v,ah,aj,ar,f,m,r,aa,w,l,a,e,y,i,ag,ap,u,af,au,ao,ae,x,ad,k,ai,am,ak,aq,ac,d,b,h,av,ab,aw,as,g,o,q,al,z,n}
@attribute H {d,g,p,f,av,aq,aw,q,ao,am,ak,ah,u,ab,x,ac,c,o,e,i,ai,ar,af,r,w,au,ad,ag,y,as,al,at,k,l,ax,n,b,a,h,t,aj,j,m,ap,ae,an,aa,z,v,s}
@attribute I {k,aj,q,r,am,n,au,v,av,d,b,ai,ak,f,z,an,l,u,i,ao,h,o,aq,g,ab,as,ad,c,ag,ar,a,af,ap,s,ax,aa,ac,w,j,aw,ah,p,t,at,m,y,al,e,x,ae}
@attribute J {ac,b,k,s,ag,av,v,ai,c,ap,ak,y,h,an,a,i,af,r,ab,j,am,aq,q,as,ax,w,d,z,m,o,at,ae,u,x,p,e,aw,ah,n,t,ar,aa,au,ao,aj,g,l,al,ad,f}
@attribute K {b,s,ad,o,ax,ac,r,g,ah,aw,ao,p,e,ak,a,av,aq,l,ai,ap,au,k,d,ab,n,w,v,af,z,as,y,c,u,m,at,x,ag,t,aa,h,ae,f,al,i,an,j,q,aj,am,ar}
@attribute L {r,z,g,u,ah,ar,n,aq,b,am,an,p,w,ax,ab,ak,l,at,ac,o,au,a,aw,j,aj,f,av,t,al,ap,x,h,d,ad,ao,c,as,af,y,m,i,ai,ae,ag,q,k,s,e,aa,v}
@attribute M {n,as,s,aj,b,ao,ar,t,j,ad,ax,z,ab,h,x,l,aw,g,an,ac,y,u,ag,w,p,ak,aa,ah,e,d,i,q,al,a,k,v,c,ae,am,o,m,av,f,at,aq,ap,r,af,ai,au}
@attribute N {o,y,ap,ac,al,x,ax,am,u,v,an,n,aj,ab,l,g,t,ar,ae,r,as,q,a,aw,z,ag,ad,ao,d,p,ai,aq,ak,af,b,k,f,m,c,aa,i,av,s,e,h,j,ah,w,au,at}
@attribute O {k,s,ab,o,av,i,r,v,g,aj,at,ah,a,c,j,e,u,al,h,f,ac,ar,as,ae,ax,au,aa,ai,y,m,aq,af,l,am,z,x,d,an,ag,ad,w,p,ao,n,q,ak,t,b,aw,ap}
@attribute P {am,ax,r,x,aw,ae,k,v,a,av,ak,s,q,b,aq,h,c,ao,at,ap,z,w,ai,d,an,al,t,aa,af,ac,g,ar,j,e,ah,ag,n,as,l,au,u,f,ab,ad,p,m,o,i,y,aj}
@attribute Q {ap,z,h,af,k,ax,aj,a,as,f,aq,ag,ab,w,v,j,u,ak,y,l,i,ai,e,m,ae,ad,x,o,aw,av,am,at,ao,t,r,ar,q,s,au,ac,ah,aa,p,n,an,g,d,b,c,al}
@attribute R {j,ax,ae,w,c,u,am,a,ar,z,ad,p,ak,an,v,h,i,s,g,o,au,ac,ao,ai,k,ah,aj,b,t,af,av,r,q,ap,l,aq,n,as,m,ab,y,aw,e,x,at,al,ag,d,aa,f}
@attribute S {aj,b,aa,d,aw,at,x,ab,ax,au,ag,ak,aq,ae,n,l,v,f,o,ah,as,e,an,ac,z,ad,h,u,k,w,s,y,j,r,i,ai,m,a,af,al,t,q,g,ar,ao,am,c,ap,av,p}
@attribute T {t,l,j,s,as,ak,aj,ap,r,a,aw,ag,o,ae,z,q,aq,y,f,w,ax,e,x,c,ad,b,at,v,am,ai,aa,av,ab,p,an,k,ah,ar,g,au,i,ac,m,ao,u,h,af,n,al,d}
@attribute U {ae,av,j,q,aq,r,d,al,ax,as,ah,aj,l,ag,aw,v,p,au,ac,ap,y,ak,s,k,af,x,a,e,z,i,ao,n,ad,ar,g,an,ai,ab,w,aa,m,b,u,c,am,t,at,o,f,h}
@attribute V {av,g,v,aa,ah,ac,aw,aq,t,x,aj,ag,al,e,s,ax,ak,w,am,l,ar,ai,h,i,ao,ad,ae,b,at,j,u,q,m,a,au,an,ap,d,k,as,f,af,o,z,r,p,c,ab,y,n}
@attribute W {ak,as,r,af,k,h,ab,n,m,i,q,j,ao,am,z,ae,ax,aw,a,p,f,an,at,y,o,ah,w,e,ac,d,l,x,aq,g,av,ai,ad,s,aj,al,t,ag,b,v,c,aa,au,u,ap,ar}
@attribute X {z,m,ag,d,ar,n,c,aj,l,o,s,ai,p,ao,y,f,t,ax,g,k,e,q,i,ap,ab,au,aq,j,aw,ak,at,h,an,ac,av,ae,v,al,r,b,x,af,am,ad,ah,as,w,aa,u,a}
@attribute Y {au,m,p,ax,ae,av,af,am,ak,g,an,c,aw,al,y,at,z,b,aj,ap,aq,j,ai,as,h,ar,x,d,ao,t,v,e,ah,s,l,o,ac,i,ad,a,r,ab,w,f,n,u,k,ag,aa,q}
@attribute Z {a,aw,c,x,al,n,v,ak,aa,ab,g,aj,ag,ai,r,e,i,q,p,h,b,ah,l,y,ar,w,ac,k,t,at,ax,an,u,as,d,au,aq,f,af,s,z,o,ao,ap,ad,ae,am,av,m,j}
@attribute [ {l,y,ao,aq,r,a,k,ae,j,av,g,ax,w,b,i,ag,ac,ak,q,h,z,c,af,v,ab,ar,o,f,ai,ap,aj,e,p,n,at,ad,t,d,u,au,aa,an,ah,s,m,am,aw,al,x,as}
@attribute '\\' {as,e,af,am,v,ap,x,g,o,a,ar,c,z,ag,al,n,l,b,ax,av,t,aw,at,p,aj,u,ak,w,h,s,ah,d,an,ae,m,q,aa,ad,aq,ai,f,y,ao,k,ac,ab,r,i,j,au}
@attribute ] {as,aj,n,u,h,s,d,ap,ab,v,ao,an,ar,c,r,y,x,au,ae,m,aw,a,am,al,af,z,aq,b,q,o,t,g,ac,aa,k,ad,ak,j,f,i,at,ah,l,ag,p,ax,e,ai,av,w}
@attribute ^ {v,w,y,al,f,ao,z,a,aa,aq,au,p,n,k,ae,l,s,h,aj,b,av,at,an,o,aw,ak,ab,ap,ad,ar,as,m,ag,j,ax,am,t,r,g,i,ai,c,d,x,e,ah,ac,q,af,u}
@attribute Class {c2,c4,c3,c1}

@data
ag,ab,e,ag,ag,aw,l,v,aw,ai,c,aq,y,z,o,a,aj,s,v,t,aq,am,p,ar,ax,a,w,au,an,aa,c1
ao,i,k,ao,n,o,g,t,q,aa,aq,g,at,ao,af,y,af,an,ap,r,q,av,m,d,p,c,ao,af,p,w,c3
ag,ab,e,aj,ag,h,ax,t,aj,u,p,aq,x,d,o,a,aj,ab,r,s,aq,g,v,ar,i,k,j,q,ao,aa,c1
ag,ab,ah,ai,ag,s,au,x,a,a,au,aq,ax,t,o,a,aj,aa,z,l,aq,ak,g,ar,aq,ab,am,ag,c,aa,c1
ao,ao,af,ah,ab,ac,aa,ap,q,y,aq,g,al,j,ax,am,af,av,g,ad,q,v,ao,d,p,c,ao,af,k,q,c3
ag,ab,ap,f,ag,ap,q,a,i,n,an,aq,w,as,o,a,aj,q,m,ad,aq,v,k,ar,q,o,k,y,n,aa,c1
h,ab,al,aw,r,v,ax,p,ab,ab,ab,f,ai,n,y,ae,aw,aw,h,t,ae,av,ak,z,ab,a,k,h,k,ae,c2
ao,i,ai,l,ac,y,aa,ai,q,a,ac,g,i,ae,ax,au,af,e,ah,as,q,as,al,d,p,c,ao,af,ad,ad,c3
ag,ab,aw,c,ag,p,af,aq,l,g,aj,aq,am,x,o,a,aj,ap,ag,aw,aq,ag,h,ar,af,u,ab,y,k,aa,c1
ao,ac,ab,t,am,ao,e,i,q,aq,n,g,aq,p,e,q,af,ai,an,l,q,k,ad,d,p,c,ao,af,i,au,c3
ag,ab,r,j,ag,g,ae,x,m,al,p,aq,aj,l,o,a,aj,av,g,b,aq,z,af,ar,p,a,at,r,ap,aa,c1
ac,aq,x,t,p,q,an,p,j,af,al,z,as,ap,s,ax,ab,ad,b,ao,ap,g,am,aq,m,aw,y,e,u,a,c4
ai,ae,ar,s,a,x,an,k,d,at,t,z,as,v,s,ax,av,at,b,u,ag,b,as,ac,m,aw,y,e,ak,d,c4
ao,ac,n,af,g,y,r,p,q,av,at,g,ag,ap,an,ak,af,k,e,ao,q,ap,n,d,p,c,ao,af,ab,g,c3
ao,ag,as,ao,f,aq,ag,a,q,k,ah,g,af,b,x,al,af,i,am,av,q,av,j,d,p,c,ao,af,ah,z,c3
j,af,al,aw,r,z,ax,ad,w,z,p,aw,w,o,z,y,n,aq,f,t,ae,av,ak,z,p,a,al,o,h,ai,c2
ag,ab,w,aa,ag,f,al,ax,aj,am,z,aq,p,ao,o,a,aj,aw,ad,f,aq,ab,h,ar,q,s,ax,e,b,aa,c1
au,d,ar,ag,o,ac,an,m,ae,j,z,z,as,z,s,ax,ae,aa,b,q,am,ap,f,c,m,aw,y,e,aa,aq,c4
ao,as,aw,ag,ar,w,q,c,q,ar,z,g,af,ar,v,e,af,al,e,at,q,u,d,d,p,c,ao,af,aa,ae,c3
aw,ax,e,b,b,ac,an,ap,ah,ag,af,z,as,a,s,ax,v,m,b,af,as,aw,ax,j,m,aw,y,e,ak,at,c4
ag,ab,b,i,ag,ak,j,am,u,au,ag,aq,b,ak,o,a,aj,ao,af,am,aq,w,g,ar,a,ai,af,aw,aq,aa,c1
aa,s,al,aw,r,u,ax,t,h,u,s,as,b,m,t,e,p,ac,aa,t,ae,av,ak,z,x,a,n,e,f,n,c2
b,o,as,a,ap,am,an,h,x,aw,ar,z,as,ao,s,ax,q,at,b,as,aw,w,ac,au,m,aw,y,e,ap,aj,c4
m,u,al,aw,r,e,ax,o,k,h,ap,r,o,ac,x,ai,aj,u,as,t,ae,av,ak,z,ar,a,j,i,aw,ad,c2
ag,ab,q,r,ag,av,x,n,n,ac,g,aq,ac,m,o,a,aj,ao,i,s,aq,g,n,ar,ad,f,w,ag,q,aa,c1
ao,ah,aj,w,v,y,aa,ap,q,ab,q,g,p,ab,aj,ad,af,y,v,ab,q,v,l,d,p,c,ao,af,z,ab,c3
ag,ab,an,ar,ag,e,ap,t,ai,ag,t,aq,q,z,o,a,aj,am,p,au,aq,al,ac,ar,g,ab,m,ao,ag,aa,c1
ag,ab,aj,av,ag,i,w,o,e,af,au,aq,af,at,o,a,aj,aj,af,h,aq,as,x,ar,j,ap,av,y,as,aa,c1
ao,d,t,ad,au,ak,d,k,q,ar,x,g,ad,aj,am,s,af,aw,ag,ag,q,ac,ag,d,p,c,ao,af,ax,y,c3
ao,s,u,w,k,aj,m,f,q,ah,z,g,k,o,p,ao,af,ag,t,ar,q,aj,am,d,p,c,ao,af,z,k,c3
ao,aa,aa,y,i,ab,ak,ae,q,av,av,g,y,aw,t,i,af,al,as,aj,q,t,k,d,p,c,ao,af,ar,ai,c3
ag,ab,z,ac,ag,ap,p,an,h,as,c,aq,ag,ai,o,a,aj,w,i,al,aq,q,af,ar,ax,ag,af,w,ab,aa,c1
ah,ad,am,ae,ao,ak,an,ar,e,at,r,z,as,b,s,ax,a,n,b,b,s,ak,f,ae,m,aw,y,e,z,b,c4
ao,g,ab,i,ab,c,n,ao,q,ab,c,g,l,v,as,f,af,z,u,f,q,y,at,d,p,c,ao,af,am,q,c3
ag,ab,ax,am,ag,d,ae,ad,x,ao,c,aq,am,as,o,a,aj,l,y,af,aq,av,a,ar,n,af,f,ac,av,aa,c1
ab,ag,al,aw,r,aw,ax,ao,a,a,ax,q,ab,q,b,ak,z,ai,n,t,ae,av,ak,z,n,a,ar,aa,z,u,c2
am,aw,al,aw,r,d,ax,m,n,t,an,au,o,z,m,aa,ah,t,k,t,ae,av,ak,z,aw,a,aj,ao,a,av,c2
ag,ab,av,av,ag,k,r,aa,i,u,aq,aq,ar,ao,o,a,aj,u,av,r,aq,n,av,ar,al,ap,ax,av,y,aa,c1
ao,ak,al,af,al,ag,v,av,q,z,ax,g,y,au,z,at,af,ad,al,o,q,al,aq,d,p,c,ao,af,at,aj,c3
ao,p,d,v,h,aq,z,b,q,b,l,g,n,u,s,t,af,aa,f,j,q,aq,aj,d,p,c,ao,af,ad,ad,c3
ao,f,ah,av,x,ae,r,r,q,i,i,g,ao,ab,at,p,af,j,n,ap,q,u,e,d,p,c,ao,af,p,as,c3
ao,m,ap,ah,ac,n,n,an,q,m,aw,g,ab,s,l,j,af,z,ai,o,q,au,ai,d,p,c,ao,af,ar,at,c3
av,e,al,aw,r,f,ax,ab,ab,k,v,am,ab,ar,ao,w,ar,x,ag,t,ae,av,ak,z,f,a,j,p,j,f,c2
ag,ab,n,z,ag,ae,ax,aa,r,ah,i,aq,af,v,o,a,aj,as,f,d,aq,ag,l,ar,x,j,r,ag,c,aa,c1
ao,v,aw,f,aa,ab,ag,t,q,v,am,g,g,v,al,p,af,am,an,ad,q,w,d,d,p,c,ao,af,ai,ae,c3
ah,ak,ar,aw,p,au,an,at,as,y,l,z,as,e,s,ax,ai,ah,b,a,al,i,u,at,m,aw,y,e,am,y,c4
ao,a,n,j,u,ag,c,ap,q,j,ai,g,ap,ai,ae,ah,af,at,x,av,q,x,x,d,p,c,ao,af,t,y,c3
ao,e,av,k,af,l,e,l,q,m,a,g,au,i,z,c,af,ad,g,ap,q,au,aq,d,p,c,ao,af,av,at,c3
ab,h,al,aw,r,c,ax,k,m,z,q,am,al,ac,au,an,v,b,r,t,ae,av,ak,z,aj,a,a,i,u,an,c2
ao,aj,ax,j,at,am,e,al,q,ap,ae,g,aa,ak,n,ah,af,ax,ax,h,q,as,am,d,p,c,ao,af,aq,s,c3
g,af,al,aw,r,au,ax,ar,af,an,x,ao,j,f,ag,ag,o,n,k,t,ae,av,ak,z,ax,a,z,b,at,f,c2
ag,af,f,e,ae,ac,an,ao,ai,an,f,z,as,i,s,ax,ag,aj,b,d,am,al,au,r,m,aw,y,e,ao,a,c4
ag,ab,u,h,ag,aa,b,ag,ak,ar,as,aq,q,al,o,a,aj,k,aa,aj,aq,b,x,ar,ao,s,ag,a,s,aa,c1
ao,r,ah,z,at,l,ax,p,q,o,l,g,ae,a,i,d,af,ao,t,ax,q,d,at,d,p,c,ao,af,ao,ao,c3
ao,u,m,ap,at,ag,c,v,q,as,ar,g,ac,b,ag,c,af,at,y,j,q,au,a,d,p,c,ao,af,c,ae,c3
ag,ab,ak,aq,ag,ar,t,ai,d,q,k,aq,ac,l,o,a,aj,av,al,m,aq,ar,r,ar,c,w,ag,w,r,aa,c1
ag,ab,ab,x,ag,aj,aa,ac,g,as,k,aq,aq,ak,o,a,aj,aw,ah,au,aq,ao,p,ar,h,ak,e,f,ao,aa,c1
i,af,al,aw,r,h,ax,g,ae,ar,o,ah,aj,ad,i,ae,q,a,ai,t,ae,av,ak,z,o,a,v,d,g,ap,c2
h,a,r,ak,m,ao,an,p,at,j,o,z,as,z,s,ax,ar,f,b,au,ao,g,b,h,m,aw,y,e,g,q,c4
ag,ab,u,v,ag,t,ag,w,al,d,i,aq,al,am,o,a,aj,f,aw,ad,aq,h,ac,ar,ac,al,at,v,ac,aa,c1
k,av,ag,g,av,ab,an,ag,e,j,q,z,as,s,s,ax,u,h,b,b,n,aw,ab,ag,m,aw,y,e,i,t,c4
as,y,h,am,n,r,an,ap,am,l,m,z,as,q,s,ax,ag,am,b,h,am,av,at,f,m,aw,y,e,n,aj,c4
ag,ab,ab,p,ag,ag,f,am,i,af,y,aq,ar,av,o,a,aj,q,an,ag,aq,a,j,ar,o,ah,r,m,ap,aa,c1
h,h,al,aw,r,r,ax,ae,ae,s,f,ak,p,p,ao,j,ai,aj,ad,t,ae,av,ak,z,aq,a,as,t,a,s,c2
ag,ab,ad,aw,ag,q,t,ac,ai,e,m,aq,ad,ap,o,a,aj,n,aw,p,aq,as,g,ar,q,ah,j,aq,b,aa,c1
ax,u,s,x,i,o,an,i,ag,as,o,z,as,p,s,ax,ah,aa,b,r,at,ab,c,h,m,aw,y,e,n,t,c4
e,u,al,aw,r,a,ax,ad,aq,t,r,b,at,am,am,f,ao,d,aq,t,ae,av,ak,z,o,a,al,f,ao,aq,c2
x,aw,h,av,t,k,an,aa,ab,ar,ap,z,as,m,s,ax,aq,ag,b,s,ap,c,aj,c,m,aw,y,e,ap,t,c4
ag,ab,c,ak,ag,h,ah,ae,av,p,ab,aq,j,at,o,a,aj,af,h,ad,aq,m,i,ar,l,m,ar,s,n,aa,c1
ag,ab,as,i,ag,q,ao,u,av,p,ab,aq,a,aj,o,a,aj,y,ad,q,aq,ax,n,ar,as,h,an,ak,w,aa,c1
ag,ab,k,y,ag,i,ax,t,av,ah,al,aq,v,h,o,a,aj,ap,v,k,aq,m,ae,ar,aq,an,ao,ab,as,aa,c1
ao,af,f,ah,av,am,z,k,q,j,at,g,h,aw,as,k,af,z,av,at,q,r,au,d,p,c,ao,af,an,l,c3
c,ax,al,aw,r,as,ax,l,h,ae,ai,ax,z,o,h,ah,a,as,aw,t,ae,av,ak,z,t,a,aa,at,aa,ai,c2
al,d,at,l,c,al,an,q,e,e,p,z,as,d,s,ax,ar,l,b,ap,l,ak,n,k,m,aw,y,e,av,a,c4
ag,ab,t,aq,ag,o,ah,al,p,ab,ai,aq,a,ag,o,a,aj,v,m,ab,aq,ah,v,ar,ad,u,h,ax,af,aa,c1
b,m,al,aw,r,af,ax,as,p,ax,aq,ae,b,ae,c,ae,d,al,u,t,ae,av,ak,z,r,a,o,ak,o,ap,c2
ag,ab,f,a,ag,c,b,ai,f,c,an,aq,aq,w,o,a,aj,af,ao,y,aq,ar,ad,ar,ah,s,v,ag,q,aa,c1
aq,h,al,aw,r,x,ax,aw,ab,ae,n,y,r,c,d,i,f,ao,ar,t,ae,av,ak,z,ax,a,at,u,aq,w,c2
ar,f,al,aw,r,m,ax,w,ad,an,i,ak,k,a,ao,u,ag,c,m,t,ae,av,ak,z,v,a,ah,c,ar,av,c2
v,l,al,aw,r,as,ax,as,at,ad,v,f,b,v,aa,ap,ac,d,ae,t,ae,av,ak,z,ao,a,ax,a,aa,h,c2
m,t,y,r,t,i,an,d,g,at,i,z,as,z,s,ax,ag,am,b,aj,i,h,al,c,m,aw,y,e,e,ae,c4
ag,ab,f,v,ag,ax,k,u,x,y,ag,aq,s,a,o,a,aj,ao,f,ap,aq,aa,f,ar,e,d,ak,ar,ac,aa,c1
ag,ab,g,m,ag,au,s,l,i,c,ab,aq,ad,ax,o,a,aj,aq,w,k,aq,ac,q,ar,t,h,aw,w,ah,aa,c1
ak,x,ab,o,r,aa,an,l,as,q,ak,z,as,c,s,ax,y,ar,b,o,af,aq,h,k,m,aw,y,e,am,ag,c4
ak,x,k,c,ap,ag,an,t,ag,af,ab,z,as,d,s,ax,am,am,b,av,u,ad,aa,au,m,aw,y,e,j,q,c4
ae,p,af,ah,ai,af,an,y,aa,j,z,z,as,ae,s,ax,b,ao,b,ao,n,aq,p,r,m,aw,y,e,a,al,c4
ao,ax,ag,p,aw,f,e,j,q,ar,al,g,y,aa,s,m,af,at,i,ap,q,f,ak,d,p,c,ao,af,au,an,c3
ag,ab,ar,f,ag,h,an,ar,ai,ak,at,aq,s,ac,o,a,aj,ad,x,p,aq,u,q,ar,ap,m,ad,as,y,aa,c1
ax,h,al,aw,r,ax,ax,ak,ad,w,k,n,s,p,q,ah,ag,aj,am,t,ae,av,ak,z,am,a,ab,ag,as,av,c2
ao,x,ah,aj,y,ah,al,c,q,y,e,g,r,ag,e,ai,af,aa,ae,av,q,c,e,d,p,c,ao,af,z,au,c3
ao,t,w,au,ab,av,x,ai,q,ab,as,g,i,ao,w,f,af,am,aq,b,q,z,b,d,p,c,ao,af,ab,k,c3
ao,m,q,q,t,ae,ad,ar,q,f,ax,g,aa,as,p,p,af,k,ab,x,q,as,j,d,p,c,ao,af,ab,au,c3
ag,ab,aj,af,ag,aq,j,a,ac,r,n,aq,ag,h,o,a,aj,d,j,ax,aq,au,aq,ar,h,af,ao,j,aq,aa,c1
ag,ab,at,aq,ag,z,x,u,ax,l,q,aq,x,z,o,a,aj,p,aa,au,aq,c,n,ar,x,ac,ar,au,j,aa,c1
ah,o,an,m,r,p,an,ai,u,m,ah,z,as,ad,s,ax,at,ax,b,am,g,q,n,o,m,aw,y,e,ab,ae,c4
at,l,an,al,h,c,an,z,ad,aw,e,z,as,al,s,ax,ac,an,b,w,am,ax,i,aw,m,aw,y,e,m,aq,c4
j,ad,al,aw,r,ap,ax,b,o,aq,ah,al,m,h,av,l,c,h,j,t,ae,av,ak,z,au,a,ai,aw,ad,g,c2
ao,ar,o,af,as,al,an,aj,q,am,o,g,an,h,an,x,af,ah,q,h,q,ax,ag,d,p,c,ao,af,aw,k,c3
ao,at,ab,av,v,an,au,m,q,ad,aj,g,ar,ag,p,am,af,aj,p,w,q,aj,ae,d,p,c,ao,af,ad,v,c3
y,a,f,as,ap,aj,an,ax,v,an,ac,z,as,am,s,ax,ai,y,b,ac,ax,ai,aw,aa,m,aw,y,e,b,e,c4
ao,av,v,aq,d,ad,as,f,q,ar,m,g,am,aj,m,aw,af,a,h,s,q,z,f,d,p,c,ao,af,z,ai,c3
ab,l,ab,av,z,o,an,av,av,w,ad,z,as,g,s,ax,av,at,b,al,t,ai,ag,u,m,aw,y,e,p,f,c4
ag,ab,at,p,ag,z,af,t,n,ab,aa,aq,ao,ac,o,a,aj,k,ad,o,aq,al,w,ar,am,a,m,ah,ae,aa,c1
ae,z,al,aw,r,h,ax,l,a,c,ax,p,ax,a,ao,x,aj,ak,r,t,ae,av,ak,z,al,a,r,s,ax,v,c2
q,a,al,aw,r,aj,ax,ag,ap,u,ak,aj,j,n,l,af,g,ac,v,t,ae,av,ak,z,am,a,i,a,s,aa,c2
x,as,al,an,ag,at,an,z,av,a,e,z,as,l,s,ax,h,m,b,av,y,z,ao,n,m,aw,y,e,v,u,c4
ao,au,o,m,q,m,ax,ab,q,aq,ab,g,ab,af,aj,k,af,au,c,p,q,h,q,d,p,c,ao,af,ak,m,c3
al,y,al,aw,r,a,ax,y,aa,a,p,a,z,am,ab,j,i,ap,aj,t,ae,av,ak,z,s,a,ak,b,r,q,c2
ag,ab,aq,a,ag,aw,h,an,at,h,p,aq,i,w,o,a,aj,d,am,ax,aq,aw,p,ar,af,h,ad,as,aa,aa,c1
d,aj,d,w,o,ao,an,ao,ag,o,s,z,as,h,s,ax,g,n,b,p,h,r,au,an,m,aw,y,e,i,am,c4
ag,ab,ae,k,ag,o,e,s,n,ah,af,aq,o,v,o,a,aj,h,ac,al,aq,am,y,ar,p,av,al,d,ax,aa,c1
a,ak,al,aw,r,o,ax,y,n,e,ap,w,f,t,x,h,af,s,aa,t,ae,av,ak,z,ax,a,au,aw,v,au,c2
ag,ab,at,j,ag,ad,ac,n,au,w,t,aq,av,l,o,a,aj,y,ao,aq,aq,am,f,ar,ar,o,f,av,ak,aa,c1
ao,t,ag,y,ab,af,ak,z,q,e,h,g,at,x,y,m,af,n,l,au,q,al,t,d,p,c,ao,af,an,as,c3
ag,ab,l,ax,ag,p,al,b,q,e,ah,aq,r,z,o,a,aj,g,x,at,aq,r,c,ar,m,p,av,ax,ax,aa,c1
ae,n,al,aw,r,x,ax,d,s,av,p,ah,v,av,m,p,af,r,ak,t,ae,av,ak,z,v,a,i,an,h,ah,c2
x,aa,ar,e,s,a,an,t,aq,v,z,z,as,s,s,ax,an,ad,b,y,z,h,af,ak,m,aw,y,e,ao,f,c4
as,ai,al,aw,r,p,ax,p,h,ax,p,x,b,as,av,x,ac,at,aq,t,ae,av,ak,z,j,a,h,g,w,k,c2
ao,ad,l,ah,ai,j,ak,au,q,l,y,g,c,e,af,j,af,al,ao,i,q,k,z,d,p,c,ao,af,at,aj,c3
ag,ab,s,aw,ag,p,y,y,u,aj,f,aq,l,z,o,a,aj,ag,k,r,aq,ac,o,ar,e,h,v,z,d,aa,c1
ao,ax,at,o,d,ax,a,r,q,f,at,g,ak,b,ak,aa,af,ai,r,q,q,h,as,d,p,c,ao,af,v,p,c3
y,q,al,aw,r,k,ax,ao,aj,u,t,g,ak,p,am,an,ao,c,ar,t,ae,av,ak,z,v,a,h,c,y,ag,c2
an,j,aq,i,r,r,an,j,l,an,ah,z,as,an,s,ax,f,an,b,ae,a,g,j,k,m,aw,y,e,aw,y,c4
ag,ab,g,o,ag,ar,ap,aq,aq,al,s,aq,ag,ak,o,a,aj,l,ag,b,aq,c,al,ar,ad,af,f,g,ab,aa,c1
s,n,ae,av,af,y,an,ae,s,a,z,z,as,ag,s,ax,y,c,b,ad,v,an,aa,ao,m,aw,y,e,av,o,c4
ao,aj,q,av,au,ab,aa,at,q,av,ap,g,t,ax,ab,aa,af,aj,ax,at,q,aw,aj,d,p,c,ao,af,s,aa,c3
i,h,a,as,h,z,an,aw,ap,aq,aj,z,as,ao,s,ax,ax,v,b,q,ah,f,am,y,m,aw,y,e,w,x,c4
ar,w,al,aw,r,c,ax,af,t,au,ad,y,am,aq,c,ab,t,ar,i,t,ae,av,ak,z,d,a,ax,w,i,au,c2
r,ah,al,aw,r,g,ax,t,d,l,m,ak,ak,ap,n,af,af,o,x,t,ae,av,ak,z,al,a,ag,t,am,u,c2
ag,ab,ap,n,ag,al,f,v,r,k,b,aq,ai,z,o,a,aj,av,ak,ag,aq,j,y,ar,z,al,aq,al,aa,aa,c1
ag,ab,ag,o,ag,u,af,at,z,at,ah,aq,ax,ad,o,a,aj,n,aa,am,aq,ar,v,ar,ap,b,n,v,v,aa,c1
ao,aj,k,an,j,ag,aa,i,q,ac,aj,g,b,o,ag,q,af,am,m,s,q,d,o,d,p,c,ao,af,aj,ad,c3
au,ai,al,aw,r,ad,ax,k,au,y,am,au,a,u,aq,z,an,r,t,t,ae,av,ak,z,aw,a,an,m,ae,as,c2
aj,r,y,v,f,d,an,m,a,w,ap,z,as,p,s,ax,h,e,b,ao,ao,x,ab,u,m,aw,y,e,an,av,c4
ad,af,al,aw,r,aa,ax,x,v,af,au,i,l,al,aw,ao,ab,h,w,t,ae,av,ak,z,a,a,q,as,j,q,c2
ao,b,p,t,aj,ah,av,aw,q,o,av,g,s,aa,h,ac,af,g,q,af,q,aj,ai,d,p,c,ao,af,u,z,c3
ao,ad,z,ab,aa,q,m,a,q,h,i,g,v,af,o,at,af,c,j,w,q,ag,u,d,p,c,ao,af,w,aj,c3
ag,ab,am,an,ag,i,at,a,ab,q,ac,aq,ap,g,o,a,aj,aq,ao,ai,aq,c,m,ar,s,s,q,ao,a,aa,c1
s,z,ac,s,v,w,an,ac,y,x,ar,z,as,i,s,ax,am,q,b,l,ai,e,g,l,m,aw,y,e,t,ap,c4
